Tumor_Sample_Barcode	GAMBL-only	Intersect	Reddy-only
Reddy_3954T	0	0	2
Reddy_3955T	0	0	5
Reddy_3956T	0	3	2
Reddy_3957T	1	1	5
Reddy_3958T	1	1	2
Reddy_3959T	1	0	6
Reddy_3960T	3	0	4
Reddy_3961T	0	0	1
Reddy_3963T	4	3	6
Reddy_3964T	0	1	0
Reddy_3965T	7	4	1
Reddy_3966T	3	2	6
Reddy_3967T	6	3	5
Reddy_3968T	1	1	1
Reddy_3969T	3	0	7
Reddy_3971T	9	5	2
Reddy_3972T	4	3	0
Reddy_3973T	0	0	3
Reddy_3974T	6	6	1
Reddy_3975T	6	1	1
Reddy_3976T	0	0	4
Reddy_3977T	4	2	9
Reddy_3978T	0	2	5
Reddy_3979T	0	0	3
Reddy_3980T	2	1	5
Reddy_3981T	0	1	2
Reddy_3982T	2	0	1
Reddy_3983T	1	3	3
Reddy_3984T	5	3	3
Reddy_3985T	0	1	3
Reddy_3986T	0	0	5
Reddy_3987T	2	5	4
Reddy_3988T	1	0	5
Reddy_3989T	4	6	5
Reddy_3990T	4	1	8
Reddy_3991T	8	2	3
Reddy_3992T	7	5	2
Reddy_3993T	6	2	3
Reddy_3994T	3	1	2
Reddy_3995T	1	0	4
Reddy_3996T	2	2	4
Reddy_3997T	2	0	3
Reddy_3998T	3	2	6
Reddy_3999T	0	0	10
Reddy_4000T	1	2	4
Reddy_648T	7	2	2
Reddy_658T	0	3	6
Reddy_683T	2	2	2
Reddy_684T	8	7	2
Reddy_689T	3	5	6
Reddy_690T	1	2	4
Reddy_695T	9	7	6
Reddy_702T	1	1	1
Reddy_704T	1	5	1
Reddy_705T	9	8	4
Reddy_707T	1	0	3
Reddy_759T	4	4	2
Reddy_787T	4	2	3
Reddy_790T	1	4	5
Reddy_793T	1	2	1
Reddy_799T	7	7	5
Reddy_800T	2	3	3
Reddy_813T	1	2	2
Reddy_816T	5	8	2
Reddy_823T	1	5	2
Reddy_829T	7	4	0
Reddy_830T	15	0	6
Reddy_831T	0	0	1
Reddy_832T	0	0	8
