Tumor_Sample_Barcode	GAMBL-only	Intersect	Reddy-only
Reddy_2530T	0	4	1
Reddy_2532T	1	0	6
Reddy_2533T	9	11	0
Reddy_2534T	8	4	2
Reddy_2538T	2	2	1
Reddy_2539T	3	7	1
Reddy_2540T	11	1	2
Reddy_2541T	5	6	0
Reddy_2542T	10	15	2
Reddy_2543T	5	5	1
Reddy_2544T	2	8	4
Reddy_2545T	1	3	1
Reddy_2547T	4	5	1
Reddy_2548T	1	0	1
Reddy_2549T	0	1	1
Reddy_2550T	4	3	3
Reddy_2551T	1	1	9
Reddy_2552T	4	3	0
Reddy_2553T	2	1	2
Reddy_2554T	4	7	1
Reddy_2555T	5	5	0
Reddy_2556T	6	4	1
Reddy_2559T	1	0	1
Reddy_2560T	0	0	2
Reddy_2561T	1	6	3
Reddy_2562T	12	11	3
Reddy_2565T	6	3	1
Reddy_2566T	7	0	0
Reddy_2567T	6	5	2
Reddy_2570T	4	6	3
Reddy_2571T	3	0	2
Reddy_2573T	2	1	1
Reddy_2575T	5	5	2
Reddy_2576T	0	6	3
Reddy_2577T	9	7	2
Reddy_2578T	1	0	2
Reddy_2580T	1	8	1
Reddy_2581T	22	3	2
Reddy_2582T	10	3	1
Reddy_2585T	6	6	3
Reddy_2588T	2	1	0
Reddy_2591T	1	1	4
Reddy_2593T	0	0	6
Reddy_2594T	4	5	4
Reddy_2596T	3	0	0
Reddy_2597T	7	0	2
Reddy_2599T	3	2	0
Reddy_2600T	7	4	0
Reddy_2602T	3	0	1
Reddy_2603T	6	4	3
Reddy_2604T	2	3	2
Reddy_2605T	1	6	0
Reddy_2606T	6	7	2
Reddy_2608T	9	5	2
Reddy_2609T	4	1	1
Reddy_2611T	7	2	2
Reddy_2612T	2	2	0
Reddy_2613T	5	12	6
Reddy_2614T	2	1	1
Reddy_2616T	5	10	6
Reddy_2617T	4	1	1
Reddy_2619T	4	6	1
Reddy_2620T	1	3	0
Reddy_2621T	6	1	2
Reddy_2622T	4	2	0
Reddy_2624T	4	1	0
Reddy_2626T	9	15	2
Reddy_2628T	10	2	2
Reddy_2629T	2	0	4
Reddy_2630T	2	1	4
Reddy_2632T	3	6	4
Reddy_2634T	4	3	2
Reddy_2635T	0	0	5
Reddy_2636T	6	4	3
Reddy_2637T	1	2	0
Reddy_2639T	6	5	5
Reddy_2640T	2	2	1
Reddy_2642T	6	0	4
Reddy_2643T	2	3	3
Reddy_2644T	5	7	1
Reddy_2646T	4	4	1
Reddy_2647T	8	1	1
Reddy_2649T	3	1	1
Reddy_2650T	2	3	2
Reddy_2651T	1	1	0
Reddy_2652T	8	7	1
Reddy_2654T	11	10	1
Reddy_2655T	3	2	1
Reddy_2656T	3	2	0
Reddy_2657T	0	2	1
Reddy_2658T	2	0	8
Reddy_2659T	1	0	2
Reddy_2660T	1	1	1
Reddy_2662T	8	8	3
Reddy_2663T	2	3	2
Reddy_2664T	4	6	1
Reddy_2666T	5	3	5
Reddy_2667T	2	0	2
Reddy_2669T	4	8	0
Reddy_2671T	0	2	2
Reddy_2673T	2	1	1
Reddy_2675T	4	4	1
Reddy_2676T	4	6	0
Reddy_2677T	3	12	2
Reddy_2678T	7	4	0
Reddy_2680T	9	8	3
Reddy_2681T	1	9	1
Reddy_2684T	2	0	6
Reddy_2685T	0	0	1
Reddy_2687T	20	7	6
Reddy_2688T	8	1	2
Reddy_2689T	3	2	0
Reddy_2690T	3	12	2
Reddy_2691T	1	2	0
Reddy_2692T	5	7	4
Reddy_2696T	6	1	3
Reddy_2697T	1	0	3
Reddy_2698T	3	5	3
Reddy_2699T	1	3	4
Reddy_2700T	2	4	2
Reddy_2704T	5	8	0
Reddy_2705T	3	3	0
Reddy_2706T	2	2	2
Reddy_2707T	7	7	4
Reddy_2709T	4	16	2
Reddy_2713T	10	5	3
Reddy_2714T	1	2	4
Reddy_2715T	5	6	2
Reddy_2716T	1	4	0
Reddy_2718T	3	1	5
Reddy_2719T	0	1	1
Reddy_2720T	9	4	5
Reddy_2725T	0	4	1
Reddy_2727T	16	6	3
Reddy_2728T	0	0	3
