Gene,N_mutated,N_wildtype,CR_rate_mut,CR_rate_wt,CR_diff,OR,Fisher_pval,FDR,Direction
HRAS,9,913,77.8,83,-5.2,0.7159884964782757,0.6549221963888788,1,Worse CR
TNFAIP3,42,880,81,83.1,-2.1,0.8663904444957217,0.6768006995298428,1,Worse CR
TCL1A,11,911,90.9,82.9,8,2.0649316913994813,0.7009167665982312,1,Better CR
SYK,11,911,90.9,82.9,8,2.0649316913994813,0.7009167665982312,1,Better CR
MSH6,12,910,91.7,82.9,8.8,2.274342058003161,0.7021643146629145,1,Better CR
TIPARP,12,910,91.7,82.9,8.8,2.274342058003161,0.7021643146629145,1,Better CR
EP300,53,869,81.1,83.1,-2,0.875590015140728,0.707037757249333,1,Worse CR
ZFX,14,908,78.6,83,-4.5,0.7491524425428714,0.7173902047007327,1,Worse CR
RUNX1,14,908,78.6,83,-4.5,0.7491524425428714,0.7173902047007327,1,Worse CR
CIITA,14,908,78.6,83,-4.5,0.7491524425428714,0.7173902047007327,1,Worse CR
IKZF3,14,908,78.6,83,-4.5,0.7491524425428714,0.7173902047007327,1,Worse CR
KLHL6,60,862,81.7,83.1,-1.4,0.9084094705534551,0.7250629803877907,1,Worse CR
NOTCH2,64,858,81.2,83.1,-1.9,0.8813546387993038,0.7300169327680419,1,Worse CR
SMARCA4,71,851,81.7,83.1,-1.4,0.9087957904493624,0.743363377199116,1,Worse CR
FAS,16,906,81.2,83,-1.8,0.8875040707187697,0.7437601063386677,1,Worse CR
CDKN2A,16,906,81.2,83,-1.8,0.8875040707187697,0.7437601063386677,1,Worse CR
TOX,20,902,80,83,-3,0.8172802559624331,0.7621779549579051,1,Worse CR
POU2F2,21,901,81,83,-2.1,0.8694860015455459,0.7699120052031765,1,Worse CR
MAGT1,21,901,81,83,-2.1,0.8694860015455459,0.7699120052031765,1,Worse CR
WAC,21,901,81,83,-2.1,0.8694860015455459,0.7699120052031765,1,Worse CR
CBLB,22,900,81.8,83,-1.2,0.9217547274106058,0.779118750716105,1,Worse CR
DDX10,22,900,81.8,83,-1.2,0.9217547274106058,0.779118750716105,1,Worse CR
ZFAT,22,900,81.8,83,-1.2,0.9217547274106058,0.779118750716105,1,Worse CR
PTPRK,28,894,82.1,83,-0.9,0.9423705467201505,0.8027388823923872,1,Worse CR
CHST2,29,893,86.2,82.9,3.3,1.2918955926254436,0.8041951725223765,1,Better CR
CD83,30,892,86.7,82.8,3.8,1.3453387530292074,0.8050283845541961,1,Better CR
DDX3X,30,892,86.7,82.8,3.8,1.3453387530292074,0.8050283845541961,1,Better CR
ARID5B,30,892,86.7,82.8,3.8,1.3453387530292074,0.8050283845541961,1,Better CR
GNAS,31,891,87.1,82.8,4.3,1.3989258407967844,0.8071469102135763,1,Better CR
EBF1,35,887,85.7,82.9,2.9,1.2405427936410172,0.8201974380015692,1,Better CR
RB1,43,879,81.4,83,-1.7,0.893070357315185,0.8349299678135732,1,Worse CR
BCL6,43,879,81.4,83,-1.7,0.893070357315185,0.8349299678135732,1,Worse CR
KLHL14,45,877,82.2,83,-0.8,0.946649852073926,0.8401459579749017,1,Worse CR
SOCS1,82,840,84.1,82.9,1.3,1.0980341091328245,0.878089247191394,1,Better CR
SPEN,91,831,82.4,83,-0.6,0.9579214244726406,0.8833768214750125,1,Worse CR
ARID1A,86,836,83.7,82.9,0.8,1.0611275584495568,0.9999999999999998,1,Better CR
CHD8,48,874,83.3,83,0.4,1.0275618232493127,0.9999999999999998,1,Better CR
MGA,66,856,83.3,82.9,0.4,1.0281453596918306,0.9999999999999998,1,Better CR
TGFBR2,12,910,83.3,83,0.4,1.0264649018279386,0.9999999999999998,1,Better CR
JAK3,41,881,82.9,83,-0,0.9966813023705245,0.9999999999999999,1,Worse CR
TMEM30A,38,884,84.2,82.9,1.3,1.0985590610657952,0.9999999999999999,1,Better CR
PIM2,26,896,84.6,82.9,1.7,1.1324232560080718,0.9999999999999999,1,Better CR
FOXO1,42,880,83.3,83,0.4,1.0273726893518265,0.9999999999999999,1,Better CR
MEF2BNB-MEF2B,46,876,82.6,83,-0.4,0.9735477005621178,0.9999999999999999,1,Worse CR
RRAGC,16,906,87.5,82.9,4.6,1.4442240357865601,0.9999999999999999,1,Better CR
PRDM1,26,896,84.6,82.9,1.7,1.1324232560080718,0.9999999999999999,1,Better CR
MAP2K1,14,908,85.7,82.9,2.8,1.2347945297514151,0.9999999999999999,1,Better CR
TMSB4X,20,902,85,82.9,2.1,1.1664804136054305,0.9999999999999999,1,Better CR
PAX5,18,904,83.3,83,0.4,1.0266415803454856,1,1,Better CR
CD70,52,870,82.7,83,-0.3,0.9793992070454902,1,1,Worse CR
MAP4K4,27,895,85.2,82.9,2.3,1.1854384813961003,1,1,Better CR
FUBP1,18,904,83.3,83,0.4,1.0266415803454856,1,1,Better CR
CHD1,34,888,85.3,82.9,2.4,1.1976031683289194,1,1,Better CR
TP53,84,838,83.3,82.9,0.4,1.0287543450547916,1,1,Better CR
STAT5B,17,905,82.4,83,-0.6,0.9569867112373206,1,1,Worse CR
MEF2B,47,875,83,83,0,1.0005159706882558,1,1,Worse CR
ACTB,13,909,84.6,82.9,1.7,1.1304916484804919,1,1,Better CR
S1PR2,18,904,83.3,83,0.4,1.0266415803454856,1,1,Better CR
PHF6,21,901,85.7,82.9,2.8,1.236679875184938,1,1,Better CR
UBR5,24,898,83.3,83,0.4,1.026820648188596,1,1,Better CR
HIST1H2BC,17,905,82.4,83,-0.6,0.9569867112373206,1,1,Worse CR
CASP8,10,912,90,82.9,7.1,1.8561158335762282,1,1,Better CR
BTK,24,898,83.3,83,0.4,1.026820648188596,1,1,Better CR
TBL1XR1,50,872,84,82.9,1.1,1.0818364988336042,1.0000000000000002,1,Better CR
YY1,15,907,86.7,82.9,3.8,1.3393714489045634,1.0000000000000002,1,Better CR
ETS1,31,891,83.9,82.9,0.9,1.0695061006289466,1.0000000000000002,1,Better CR
TET2,54,868,83.3,82.9,0.4,1.0277536080957168,1.0000000000000002,1,Better CR
SF3B1,22,900,86.4,82.9,3.5,1.3070658895279468,1.0000000000000002,1,Better CR
ETV6,36,886,83.3,83,0.4,1.0271861511290623,1.0000000000000004,1,Better CR
